MemberID,SourceType,Latitude,Longitude,Age,Contact_Number,cost
1,Hospital,29.69752102,-95.82369974,58,9382484616,300$
2,Hospital,41.69441993,-98.00391163,57,6644636022,700$
3,Nursing Home,40.82585572,-73.85317158,70,6928729201,700$
4,Scan Center,32.8508779,-80.09585202,21,6930533881,700$
5,Hospital,28.15275894,-81.44115932,53,6362471311,500$
6,Hospital,30.01773943,-97.86827414,32,8679604692,500$
7,Scan Center,34.49133166,-87.27970133,82,7749859584,1000$
8,Nursing Home,40.86489909,-76.79291143,45,9051810690,500$
9,Supply Directory,40.41074523,-104.7232728,37,8126908629,700$
10,Hospital,28.04083443,-82.40461201,73,9085697971,700$
11,Supply Directory,41.88402405,-87.63152189,79,9657208939,700$
12,Scan Center,33.68368794,-117.9847586,77,9351198621,1000$
13,Scan Center,33.295363,-111.7172352,20,7409816915,500$
14,Supply Directory,44.02689548,-88.5485594,34,7286889144,700$
15,Scan Center,39.26143744,-75.58649923,73,6935304958,300$
16,Nursing Home,34.4325733,-79.36744774,62,8970916815,700$
17,Nursing Home,41.90730267,-88.35570902,73,7337238121,1000$
18,Scan Center,32.41052161,-86.2709949,54,9321607116,700$
19,Supply Directory,37.34608579,-79.21979096,52,6588947139,500$
20,Supply Directory,43.07646317,-75.28459384,79,6875661758,300$
21,Nursing Home,36.32838265,-94.1354448,60,8088735934,1000$
22,Hospital,35.48040821,-82.99899053,86,8144754673,500$
23,Supply Directory,45.584284,-95.91184352,77,7820441724,300$
24,Nursing Home,43.65940181,-93.34457374,72,7321505362,500$
25,Scan Center,38.78393566,-77.13852995,35,8514737495,1000$
26,Hospital,40.64583575,-112.0173773,68,9042199924,700$
27,Supply Directory,36.36526834,-82.3891605,29,8592844210,300$
28,Nursing Home,38.81448521,-82.19883842,43,9905984470,300$
29,Nursing Home,37.60563789,-122.3777794,61,7398960102,700$
30,Supply Directory,40.13005679,-75.33700473,75,8819788973,1000$
31,Scan Center,43.20614635,-77.73482747,48,7082759620,300$
32,Supply Directory,40.98009824,-73.78841828,51,7487234062,500$
33,Supply Directory,40.73281035,-73.72253939,85,9317709176,500$
34,Scan Center,39.98712491,-104.8041168,87,9033935608,700$
35,Nursing Home,37.32160115,-79.25175977,66,7287671012,1000$
36,Nursing Home,27.27038409,-80.42715429,71,6135931282,300$
37,Nursing Home,29.65438952,-95.62698078,53,8469555172,700$
